id,name,information,category,price,is_spicy,is_hot,released_at,created_at,updated_at
1,핫초코,"따뜻하고 달콤한 핫초코",drink,3500,0,2,"2021-02-16 13:19:15","2021-02-16 13:19:15","2021-02-16 13:19:15"
2,슈퍼베리워터주스,"블루베리, 라즈베리 등 7가지 베리의 새콤달콤한 맛을 시원하게 즐길 수 있는 무카페인 음료",drink,4500,0,1,"2021-02-16 13:22:35","2021-02-16 13:22:35","2021-02-16 13:22:35"
3,레몬홍차,"잉글리시 브랙퍼스트 티백차에 레몬셀 가득한 레몬시럽이 들어가 풍부한 비타민C까지 즐길 수 있는 레몬홍차",drink,3500,0,2,"2021-02-16 13:23:21","2021-02-16 13:23:21","2021-02-16 13:23:21"
4,홍차,"잉글리시 브랙퍼스트 티백차의 고급스러운 맛을 저렴한 가격에 즐길 수 있는 맘스터치만의 가성티",drink,3500,0,2,"2021-02-16 13:24:04","2021-02-16 13:24:04","2021-02-16 13:24:04"
5,복숭아망고스무디,"부드럽고 달콤한 복숭아망고 스무디",drink,4000,0,1,"2021-02-16 13:24:51","2021-02-16 13:24:51","2021-02-16 13:24:51"
6,레몬딸기스무디,"상큼하고 달달한 레몬딸기스무디",drink,4000,0,1,"2021-02-16 13:25:32","2021-02-16 13:25:32","2021-02-16 13:25:32"
7,레몬에이드,"레몬 한잔으로 비타민 가득 상큼한 하루!

착즙 방식으로 레몬셀이 살아있어
풍부한 레몬의 맛과 청량감을 느낄 수 있는 레몬 에이드",drink,3000,0,1,"2021-02-16 13:27:11","2021-02-16 13:27:11","2021-02-16 13:27:11"
8,레몬티,"레몬 한잔으로 비타민 가득 상큼한 하루!

착즙 방식으로 레몬셀이 살아있어
풍부한 레몬의 맛과 향을 즐길 수 있는 레몬티",drink,3000,0,2,"2021-02-16 13:27:45","2021-02-16 13:27:45","2021-02-16 13:27:45"
9,허브복숭아티,"캐모마일, 페퍼민트 등 건강한 허브티베이스와 달콤한 복숭아의 싱그러운 만남",drink,3000,0,2,"2021-02-16 13:28:45","2021-02-16 13:28:45","2021-02-16 13:28:45"
10,스트로베리밀크,"달콤상큼한 스트로베리밀크로 시원하고 든든하게!",drink,3500,0,1,"2021-02-16 13:29:54","2021-02-16 13:29:54","2021-02-16 13:29:54"
11,스위트망고,"건강하고 달콤한 스위트망고로 몸도 마음도 리프레시 하세요!",drink,3500,0,1,"2021-02-16 13:31:01","2021-02-16 13:31:01","2021-02-16 13:31:01"
12,딸기스무디,"달콤상큼한 딸기스무디",drink,4000,0,1,"2021-02-16 13:31:56","2021-02-16 13:31:56","2021-02-16 13:31:56"
13,망고스무디,"건강하고 달콤한 망고 스무디",drink,4000,0,1,"2021-02-16 13:32:30","2021-02-16 13:32:30","2021-02-16 13:32:30"
14,카페라떼,"맘스터치만의 스페셜 로스팅원두와 신선한 우유가 만나 부드럽고 감미로운 라떼류",drink,3000,0,2,"2021-02-16 15:28:54","2021-02-16 15:28:54","2021-02-16 15:28:54"
15,콜라,"가슴까지 시원한 콜라 한 잔!",drink,2000,0,1,"2021-02-16 15:31:08","2021-02-16 15:31:08","2021-02-16 15:31:08"
16,오렌지쥬스,"오렌지과즙이 풍부한 상큼한 오렌지 주스",drink,2500,0,1,"2021-02-16 15:31:43","2021-02-16 15:31:43","2021-02-16 15:31:43"
17,청포도에이디,"청포도알맹이가 쏙쏙~ 상큼한 청포도에이드",drink,2500,0,1,"2021-02-16 15:32:12","2021-02-16 15:32:12","2021-02-16 15:32:12"
18,망고에이드,"열대과일 망고퓨레가 가득~ 달콤한 망고에이드",drink,2500,0,1,"2021-02-16 15:32:55","2021-02-16 15:32:55","2021-02-16 15:32:55"
19,복숭아에이드,"복숭아의 달콤함과 청량감을 그대로!",drink,2500,0,1,"2021-02-16 15:33:25","2021-02-16 15:33:25","2021-02-16 15:33:25"
20,아메리카노,"맘스터치만의 스페셜로스팅 원두를 사용해 부드러운 맛과 커피 본연의 풍미를 살린 아메리카노",drink,2500,0,2,"2021-02-16 15:34:35","2021-02-16 15:34:35","2021-02-16 15:34:35"
21,치즈뿌치텐더,"스페셜 치즈 시즈닝이 선사하는 진한 치즈의 풍미에 안심 순살로 만들어 더 부드러운 순살 치킨이 더해진 환상의 맛!",side,2500,1,0,"2021-02-16 15:39:55","2021-02-16 15:39:55","2021-02-16 15:39:55"
22,후라이드텐더,"안심 순살로 만들어 더 부드러운 순살 치킨",side,2000,1,0,"2021-02-16 15:40:31","2021-02-16 15:40:31","2021-02-16 15:40:31"
23,베이컨치즈감자,"포슬포슬한 감자튀김에 고소한 치즈소스와 매콤한 할라피뇨 살사소스,상큼한 랜치소스를 곁들인 사이드 메뉴",side,2500,1,0,"2021-02-16 15:41:25","2021-02-16 15:41:25","2021-02-16 15:41:25"
